UNC,GLY,TAU,AA,OXO,SUL,tetra,PlotOrder
0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,2
0,1,0,0,0,0,0,3
0,1,0,0,0,0,0,4
0,1,0,0,0,0,0,5
0,1,0,0,0,0,0,6
0.073309731,0.926690269,0,0,0,0,0,7
0.088220445,0.911779555,0,0,0,0,0,8
0.096798761,0.903201239,0,0,0,0,0,9
0.126341969,0.873658031,0,0,0,0,0,10
0.136851536,0.863148464,0,0,0,0,0,11
0.155848349,0.844151651,0,0,0,0,0,12
0.159080273,0.840919727,0,0,0,0,0,13
0.162475182,0.837524818,0,0,0,0,0,14
0.197202563,0.802797437,0,0,0,0,0,15
0.198400284,0.801599716,0,0,0,0,0,16
0.2206887,0.7793113,0,0,0,0,0,17
0.251114718,0.748885282,0,0,0,0,0,18
0.260164289,0.739835711,0,0,0,0,0,19
0.264898445,0.735101555,0,0,0,0,0,20
0.283786295,0.716213705,0,0,0,0,0,21
0.304805446,0.41683341,0.278361144,0,0,0,0,22
0.305979961,0.694020039,0,0,0,0,0,23
0.359263468,0.640736532,0,0,0,0,0,24
0.361435583,0.638564417,0,0,0,0,0,25
0.373467484,0.571605217,0.054927299,0,0,0,0,26
0.389011934,0.610988066,0,0,0,0,0,27
0.399622128,0.600377872,0,0,0,0,0,28
0.409691127,0.590308873,0,0,0,0,0,29
0.411478312,0.588521688,0,0,0,0,0,30
0.452854896,0.547145104,0,0,0,0,0,31
0.490578532,0.509421468,0,0,0,0,0,32
0.55112134,0.44887866,0,0,0,0,0,33
0.553053842,0.446946158,0,0,0,0,0,34
0.604664465,0.395335535,0,0,0,0,0,35
0.609116328,0.390883672,0,0,0,0,0,36
0.619505577,0.380494423,0,0,0,0,0,37
0.627563634,0.372436366,0,0,0,0,0,38
0.635057746,0.364942254,0,0,0,0,0,39
0.639586969,0.360413031,0,0,0,0,0,40
0.670082441,0.329917559,0,0,0,0,0,41
0.686209434,0.313790566,0,0,0,0,0,42
0.712216272,0.287783728,0,0,0,0,0,43
0.771631822,0.228368178,0,0,0,0,0,44
0.801734651,0.198265349,0,0,0,0,0,45
0.809962794,0.190037206,0,0,0,0,0,46
0.824460763,0.175539237,0,0,0,0,0,47
0.840759696,0.159240304,0,0,0,0,0,48
0.846643839,0.153356161,0,0,0,0,0,49
0.916165216,0.083834784,0,0,0,0,0,50
0.930762995,0.069237005,0,0,0,0,0,51
1,0,0,0,0,0,0,52
